Input_Size,Edges,M,R,Program,Time
tiny,100,1,1,findsp,0.19
tiny,100,1,1,findst,0.22
tiny,100,1,2,findsp,0.00
tiny,100,1,2,findst,0.00
tiny,100,1,4,findsp,0.00
tiny,100,1,4,findst,0.00
tiny,100,1,8,findsp,0.00
tiny,100,1,8,findst,0.00
tiny,100,2,1,findsp,0.00
tiny,100,2,1,findst,0.00
tiny,100,2,2,findsp,0.00
tiny,100,2,2,findst,0.00
tiny,100,2,4,findsp,0.00
tiny,100,2,4,findst,0.00
tiny,100,2,8,findsp,0.00
tiny,100,2,8,findst,0.00
tiny,100,4,1,findsp,0.00
tiny,100,4,1,findst,0.00
tiny,100,4,2,findsp,0.00
tiny,100,4,2,findst,0.00
tiny,100,4,4,findsp,0.00
tiny,100,4,4,findst,0.00
tiny,100,4,8,findsp,0.00
tiny,100,4,8,findst,0.00
tiny,100,8,1,findsp,0.00
tiny,100,8,1,findst,0.00
tiny,100,8,2,findsp,0.00
tiny,100,8,2,findst,0.00
tiny,100,8,4,findsp,0.00
tiny,100,8,4,findst,0.00
tiny,100,8,8,findsp,0.00
tiny,100,8,8,findst,0.00
small,1000,1,1,findsp,0.00
small,1000,1,1,findst,0.00
small,1000,1,2,findsp,0.00
small,1000,1,2,findst,0.00
small,1000,1,4,findsp,0.00
small,1000,1,4,findst,0.00
small,1000,1,8,findsp,0.00
small,1000,1,8,findst,0.00
small,1000,2,1,findsp,0.00
small,1000,2,1,findst,0.00
small,1000,2,2,findsp,0.00
small,1000,2,2,findst,0.00
small,1000,2,4,findsp,0.00
small,1000,2,4,findst,0.00
small,1000,2,8,findsp,0.00
small,1000,2,8,findst,0.00
small,1000,4,1,findsp,0.00
small,1000,4,1,findst,0.00
small,1000,4,2,findsp,0.00
small,1000,4,2,findst,0.00
small,1000,4,4,findsp,0.00
small,1000,4,4,findst,0.00
small,1000,4,8,findsp,0.00
small,1000,4,8,findst,0.00
small,1000,8,1,findsp,0.00
small,1000,8,1,findst,0.00
small,1000,8,2,findsp,0.00
small,1000,8,2,findst,0.00
small,1000,8,4,findsp,0.00
small,1000,8,4,findst,0.00
small,1000,8,8,findsp,0.00
small,1000,8,8,findst,0.00
medium,10000,1,1,findsp,0.01
medium,10000,1,1,findst,0.01
medium,10000,1,2,findsp,0.01
medium,10000,1,2,findst,0.02
medium,10000,1,4,findsp,0.03
medium,10000,1,4,findst,0.02
medium,10000,1,8,findsp,0.02
medium,10000,1,8,findst,0.02
medium,10000,2,1,findsp,0.01
medium,10000,2,1,findst,0.00
medium,10000,2,2,findsp,0.01
medium,10000,2,2,findst,0.01
medium,10000,2,4,findsp,0.02
medium,10000,2,4,findst,0.02
medium,10000,2,8,findsp,0.02
medium,10000,2,8,findst,0.02
medium,10000,4,1,findsp,0.01
medium,10000,4,1,findst,0.00
medium,10000,4,2,findsp,0.01
medium,10000,4,2,findst,0.01
medium,10000,4,4,findsp,0.02
medium,10000,4,4,findst,0.02
medium,10000,4,8,findsp,0.02
medium,10000,4,8,findst,0.02
medium,10000,8,1,findsp,0.01
medium,10000,8,1,findst,0.01
medium,10000,8,2,findsp,0.01
medium,10000,8,2,findst,0.01
medium,10000,8,4,findsp,0.02
medium,10000,8,4,findst,0.02
medium,10000,8,8,findsp,0.02
medium,10000,8,8,findst,0.02
large,100000,1,1,findsp,0.12
large,100000,1,1,findst,0.10
large,100000,1,2,findsp,0.28
large,100000,1,2,findst,0.30
large,100000,1,4,findsp,0.32
large,100000,1,4,findst,0.33
large,100000,1,8,findsp,0.40
large,100000,1,8,findst,0.37
large,100000,2,1,findsp,0.08
large,100000,2,1,findst,0.08
large,100000,2,2,findsp,0.23
large,100000,2,2,findst,0.24
large,100000,2,4,findsp,0.34
large,100000,2,4,findst,0.34
large,100000,2,8,findsp,0.36
large,100000,2,8,findst,0.37
large,100000,4,1,findsp,0.09
large,100000,4,1,findst,0.08
large,100000,4,2,findsp,0.24
large,100000,4,2,findst,0.24
large,100000,4,4,findsp,0.35
large,100000,4,4,findst,0.32
large,100000,4,8,findsp,0.36
large,100000,4,8,findst,0.37
large,100000,8,1,findsp,0.08
large,100000,8,1,findst,0.09
large,100000,8,2,findsp,0.24
large,100000,8,2,findst,0.24
large,100000,8,4,findsp,0.32
large,100000,8,4,findst,0.33
large,100000,8,8,findsp,0.37
large,100000,8,8,findst,0.37
